source,rows,columns,out_path
data/raw_remote/arcdev/data/qneuromark/Data/AIBL/demos/AIBL_ALL_2_11_2022.csv,5586,12,data/prepared_data/misc_tables/data_qneuromark_Data_AIBL_demos_AIBL_ALL_2_11_2022.parquet
data/raw_remote/arcdev/data/qneuromark/Data/AIBL/demos/aibl_cdr_01-Jun-2018.csv,1688,5,data/prepared_data/misc_tables/data_qneuromark_Data_AIBL_demos_aibl_cdr_01_Jun_2018.parquet
data/raw_remote/arcdev/data/qneuromark/Data/AIBL/demos/aibl_mmse_01-Jun-2018.csv,1688,5,data/prepared_data/misc_tables/data_qneuromark_Data_AIBL_demos_aibl_mmse_01_Jun_2018.parquet
data/raw_remote/arcdev/data/qneuromark/Data/AIBL/demos/aibl_mrimeta_01-Jun-2018.csv,655,11,data/prepared_data/misc_tables/data_qneuromark_Data_AIBL_demos_aibl_mrimeta_01_Jun_2018.parquet
data/raw_remote/arcdev/data/qneuromark/Data/AIBL/demos/aibl_pdxconv_01-Jun-2018.csv,1688,10,data/prepared_data/misc_tables/data_qneuromark_Data_AIBL_demos_aibl_pdxconv_01_Jun_2018.parquet
data/raw_remote/arcdev/data/qneuromark/Data/AIBL/demos/aibl_ptdemog_01-Jun-2018.csv,862,5,data/prepared_data/misc_tables/data_qneuromark_Data_AIBL_demos_aibl_ptdemog_01_Jun_2018.parquet
data/raw_remote/arcdev/data/qneuromark/Data/COBRE/Data_info/PANSS_COBRE.csv,174,36,data/prepared_data/misc_tables/data_qneuromark_Data_COBRE_Data_info_PANSS_COBRE.parquet
data/raw_remote/arcdev/data/qneuromark/Data/COBRE/Data_info/pheno_comb_cobre_all.csv,252,4,data/prepared_data/misc_tables/data_qneuromark_Data_COBRE_Data_info_pheno_comb_cobre_all.parquet
data/raw_remote/arcdev/data/qneuromark/Data/FBIRN/Data_info/fBIRN_CMINDS_4rsfMRI2_G.csv,332,11,data/prepared_data/misc_tables/data_qneuromark_Data_FBIRN_Data_info_fBIRN_CMINDS_4rsfMRI2_G.parquet
data/raw_remote/arcdev/data/qneuromark/Data/MIRIAD/files/assessments_2_11_2022_23_7_20.csv,268,13,data/prepared_data/misc_tables/data_qneuromark_Data_MIRIAD_files_assessments_2_11_2022_23_7_20.parquet
data/raw_remote/arcdev/data/qneuromark/Data/MIRIAD/files/counts_2_11_2022_23_8_47.csv,69,7,data/prepared_data/misc_tables/data_qneuromark_Data_MIRIAD_files_counts_2_11_2022_23_8_47.parquet
data/raw_remote/arcdev/data/qneuromark/Data/MIRIAD/files/scans_2_11_2022_23_15_29.csv,708,9,data/prepared_data/misc_tables/data_qneuromark_Data_MIRIAD_files_scans_2_11_2022_23_15_29.parquet
data/raw_remote/arcdev/data/qneuromark/Data/NACC/data/investigator_apet_nacc65.csv,455,16,data/prepared_data/misc_tables/data_qneuromark_Data_NACC_data_investigator_apet_nacc65.parquet
data/raw_remote/arcdev/data/qneuromark/Data/NACC/data/investigator_fcsf_nacc65.csv,3051,23,data/prepared_data/misc_tables/data_qneuromark_Data_NACC_data_investigator_fcsf_nacc65.parquet
data/raw_remote/arcdev/data/qneuromark/Data/NACC/data/investigator_mri_nacc65.csv,11730,191,data/prepared_data/misc_tables/data_qneuromark_Data_NACC_data_investigator_mri_nacc65.parquet
data/raw_remote/arcdev/data/qneuromark/Data/SZ_JH/Data_info/demo.csv,185,11,data/prepared_data/misc_tables/data_qneuromark_Data_SZ_JH_Data_info_demo.parquet
data/raw_remote/arcdev/data/qneuromark/Data/SZ_JH/Data_info/neuropsychological_test.csv,180,11,data/prepared_data/misc_tables/data_qneuromark_Data_SZ_JH_Data_info_neuropsychological_test.parquet
data/raw_remote/arcdev/data/qneuromark/Data/SZ_JH/Data_info/sans_saps.csv,88,14,data/prepared_data/misc_tables/data_qneuromark_Data_SZ_JH_Data_info_sans_saps.parquet
