claim_id,label_class,outcome,contrast,expected_sign,n_disc_case,n_disc_control,n_rep_case,n_rep_control,beta,p,std_effect,achieved_power,under_powered,multiverse_consistent,replication_passed,replication_reason,final_label,confirmation_subtype,baseline_significant,rationale
SCZ_hippocampus,known_positive,smri_hippocampus,SCHZ vs CONTROL,negative,25,102,25,23,-52.995186302339704,0.7017804300053155,-0.23605489486291503,0.9184898359602757,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
SCZ_amygdala,known_positive,smri_amygdala,SCHZ vs CONTROL,negative,25,102,25,23,29.941755788561203,0.6572633440031423,0.065176779525672,0.9184898359602757,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
SCZ_thalamus,known_positive,smri_thalamus,SCHZ vs CONTROL,negative,25,102,25,23,-73.97907562282296,0.7410268115038652,-0.1941863351836258,0.9184898359602757,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
SCZ_accumbens,known_positive,smri_accumbens,SCHZ vs CONTROL,negative,25,102,25,23,4.992720857841462,0.8808975489181995,-0.11316426709145334,0.9184898359602757,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
SCZ_pallidum,known_positive,smri_pallidum,SCHZ vs CONTROL,positive,25,102,25,23,172.0108671010209,0.03329033044750797,0.261744367194348,0.9184898359602757,False,0.5,True,passed,fragile,,True,Failed gates: multiverse
SCZ_lateralventricle,known_positive,smri_lateralventricle,SCHZ vs CONTROL,positive,25,102,25,23,-2104.510671183302,0.14569123154648017,-0.06707230315697708,0.9184898359602757,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
SCZ_caudate,known_null,smri_caudate,SCHZ vs CONTROL,two_sided,25,102,25,23,10.629914272391318,0.9534631597992937,-0.1622193482588343,0.9184898359602757,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
SCZ_putamen,known_null,smri_putamen,SCHZ vs CONTROL,two_sided,25,102,25,23,293.17869016014834,0.13028573976811902,0.093176150337292,0.9184898359602757,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
BD_hippocampus,known_positive,smri_hippocampus,BIPOLAR vs CONTROL,negative,26,102,23,23,59.05957704705418,0.6456716133782059,-0.01741253857851122,0.9204895576488089,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
BD_thalamus,known_positive,smri_thalamus,BIPOLAR vs CONTROL,negative,26,102,23,23,37.348234889300215,0.872300226135261,-0.08168434987058433,0.9204895576488089,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
BD_lateralventricle,known_positive,smri_lateralventricle,BIPOLAR vs CONTROL,positive,26,102,23,23,-238.36602213239735,0.8672238220485252,0.0982890248884054,0.9204895576488089,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
BD_amygdala,fragile,smri_amygdala,BIPOLAR vs CONTROL,negative,26,102,23,23,79.50186268649492,0.2010582990846812,0.12427932442663703,0.9204895576488089,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
BD_accumbens,known_null,smri_accumbens,BIPOLAR vs CONTROL,two_sided,26,102,23,23,41.26794247086913,0.19604555895476425,0.11703510967248593,0.9204895576488089,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
BD_caudate,known_null,smri_caudate,BIPOLAR vs CONTROL,two_sided,26,102,23,23,25.26997601009694,0.8696148922046318,-0.10029337101583832,0.9204895576488089,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
ADHD_amygdala,known_positive,smri_amygdala,ADHD vs CONTROL,negative,21,102,20,23,-51.62728964752126,0.5083200189720534,-0.20422010488525771,0.9100225129705195,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
ADHD_accumbens,known_positive,smri_accumbens,ADHD vs CONTROL,negative,21,102,20,23,-23.554664796456194,0.47984320599622865,-0.1880903705454079,0.9100225129705195,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
ADHD_putamen,known_positive,smri_putamen,ADHD vs CONTROL,negative,21,102,20,23,-280.9516533203456,0.18262148030769626,-0.3017931295615255,0.9100225129705195,False,0.0,False,non_replicated_effect_absent,fragile,,False,"Failed gates: multiplicity, multiverse, replication; replication=non_replicated_effect_absent"
