claim_id,label_class,outcome,contrast,expected_sign,n_disc_case,n_disc_control,n_rep_case,n_rep_control,beta,p,std_effect,achieved_power,under_powered,multiverse_consistent,replication_passed,replication_reason,final_label,confirmation_subtype,baseline_significant,rationale
ad_hippocampus,known_positive,smri_hippocampus,AD vs CN,negative,76,226,273,931,-0.8472676712100354,1.756145816904869e-21,-1.0888345813072808,0.999395561879129,False,1.0,True,passed,confirmed,transportable_confirmed,True,All gates passed.; confirmation_subtype=transportable_confirmed; heterogeneity_i2=0.0
ad_entorhinal,known_positive,smri_entorhinal,AD vs CN,negative,76,226,273,931,-1.1290347014376323,7.137614723567682e-20,-0.919791146987864,0.999395561879129,False,1.0,True,passed,confirmed,transportable_confirmed,True,All gates passed.; confirmation_subtype=transportable_confirmed; heterogeneity_i2=0.0
ad_parahippocampal,known_positive,smri_parahippocampal,AD vs CN,negative,76,226,273,931,-0.6021641277366502,1.6981405888859134e-10,-0.6769980347165422,0.999395561879129,False,1.0,True,passed,confirmed,transportable_confirmed,True,All gates passed.; confirmation_subtype=transportable_confirmed; heterogeneity_i2=0.0
ad_midtemporal,known_positive,smri_midtemporal,AD vs CN,negative,76,226,273,930,-2.723747767019667,1.644719529064953e-15,-0.7508703969905205,0.999395561879129,False,1.0,True,passed,confirmed,transportable_confirmed,True,All gates passed.; confirmation_subtype=transportable_confirmed; heterogeneity_i2=0.0
ad_inferiortemporal,known_positive,smri_inferiortemporal,AD vs CN,negative,76,223,272,930,-2.478835760854789,6.194883613444233e-17,-0.8216472611157439,0.9993380043173564,False,1.0,True,passed,confirmed,transportable_confirmed,True,All gates passed.; confirmation_subtype=transportable_confirmed; heterogeneity_i2=17.4
ad_fusiform,known_positive,smri_fusiform,AD vs CN,negative,76,226,272,930,-1.1555027425622038,6.66644362128016e-06,-0.43829341260569177,0.999395561879129,False,1.0,True,passed,confirmed,transportable_confirmed,True,All gates passed.; confirmation_subtype=transportable_confirmed; heterogeneity_i2=37.2
ad_wholebrain,known_positive,smri_wholebrain,AD vs CN,negative,76,226,273,931,-46.68423091891475,5.742903615466779e-24,-0.39125751030209954,0.999395561879129,False,1.0,True,passed,confirmed,magnitude_confirmed,True,All gates passed.; confirmation_subtype=magnitude_confirmed; heterogeneity_i2=71.9
ad_lateralventricle,known_positive,smri_lateralventricle,AD vs CN,positive,76,226,273,931,18.345375498442383,6.4833061296071835e-16,1.1008446191505823,0.999395561879129,False,1.0,True,passed,confirmed,transportable_confirmed,True,All gates passed.; confirmation_subtype=transportable_confirmed; heterogeneity_i2=0.0
mci_hippocampus,known_positive,smri_hippocampus,MCI vs CN,negative,71,226,369,931,-0.17075887547990903,0.030991056791301687,-0.36139018812170426,0.9992967040096962,False,0.6666666666666666,True,passed,confirmed,direction_confirmed,True,All gates passed.; confirmation_subtype=direction_confirmed; heterogeneity_i2=81.9
mci_entorhinal,fragile,smri_entorhinal,MCI vs CN,negative,71,226,369,931,-0.25696511195698124,0.02825441687029879,-0.3333092436502919,0.9992967040096962,False,1.0,True,passed,confirmed,transportable_confirmed,True,All gates passed.; confirmation_subtype=transportable_confirmed; heterogeneity_i2=23.7
ad_pericalcarine,ad_spared_control,smri_pericalcarine,AD vs CN,negative,76,226,273,931,-0.635105602132969,1.1406086252807684e-05,-0.5195841298997638,0.999395561879129,False,1.0,False,non_replicated_effect_absent,non_replicated,,True,Failed gates: replication; replication=non_replicated_effect_absent
ad_precentral,ad_spared_control,smri_precentral,AD vs CN,negative,76,226,273,930,-1.6630425395629396,3.9735477088351745e-06,-0.4558412693516626,0.999395561879129,False,1.0,False,non_replicated_effect_absent,non_replicated,,True,Failed gates: replication; replication=non_replicated_effect_absent
ad_postcentral,ad_spared_control,smri_postcentral,AD vs CN,negative,75,223,270,930,-1.019131394851909,0.00047330737245968155,-0.3652972801909307,0.9993176599078853,False,1.0,True,passed,confirmed,transportable_confirmed,True,All gates passed.; confirmation_subtype=transportable_confirmed; heterogeneity_i2=0.0
ad_paracentral,ad_spared_control,smri_paracentral,AD vs CN,negative,76,226,273,931,-0.8254251554426721,2.415349045222559e-06,-0.5295402660745766,0.999395561879129,False,1.0,True,passed,confirmed,magnitude_confirmed,True,All gates passed.; confirmation_subtype=magnitude_confirmed; heterogeneity_i2=70.4
ad_cuneus,ad_spared_control,smri_cuneus,AD vs CN,negative,76,226,273,931,-0.7599646673691948,4.172870422727104e-05,-0.36049462933377197,0.999395561879129,False,1.0,True,passed,confirmed,magnitude_confirmed,True,All gates passed.; confirmation_subtype=magnitude_confirmed; heterogeneity_i2=63.5
ad_cerebellum,ad_spared_control,smri_cerebellum,AD vs CN,negative,76,226,272,930,-39.3583976952373,2.573306689784094e-21,-0.36153058573897884,0.999395561879129,False,1.0,True,passed,confirmed,direction_confirmed,True,All gates passed.; confirmation_subtype=direction_confirmed; heterogeneity_i2=80.6
