seed_id,pmid,target_family,status,reason,discovery_cohort,replication_cohort,matched_outcome_examples,missing_covariates,rejected_pair_reasons
39265959_age_cbsf,39265959,normative_fmri,requires_new_feature_adapter,diffusion MRI/DTI/DWI outcomes are not present in the local derivative tables.,,,,,
39265959_cbsf_cognition,39265959,normative_fmri,requires_new_feature_adapter,diffusion MRI/DTI/DWI outcomes are not present in the local derivative tables.,,,,,
39265959_visual_cbsf_visuospatial,39265959,normative_fmri,requires_new_feature_adapter,diffusion MRI/DTI/DWI outcomes are not present in the local derivative tables.,,,,,
pmid39692877_age_cerebellar_volume,39692877,normative_fmri,requires_new_feature_adapter,"cerebellar, thalamic, subcortical, or midbrain outcomes are not represented by the local FC network columns.",,,,,
pmid39692877_age_cerebellar_fc,39692877,normative_fmri,requires_new_feature_adapter,"cerebellar, thalamic, subcortical, or midbrain outcomes are not represented by the local FC network columns.",,,,,
pmid39692877_cerebellum_behavior,39692877,normative_fmri,requires_new_feature_adapter,Brain-to-behavior claims with imaging predictors and behavioral/cognitive outcomes are not executable by the current imaging-outcome CONFIRM contract.,,,,,
pmid40695794_seed1,40695794,normative_fmri,ambiguous_or_unsupported,No target-family cohort has locally prepared outcome columns matching this modality/family.,,,,,
pmid40695794_seed2,40695794,normative_fmri,ambiguous_or_unsupported,No target-family cohort has locally prepared outcome columns matching this modality/family.,,,,,
pmid40695794_seed3,40695794,normative_fmri,ambiguous_or_unsupported,No target-family cohort has locally prepared outcome columns matching this modality/family.,,,,,
26988858_aging_pfc_recruitment,26988858,normative_fmri,requires_new_feature_adapter,task-fMRI activation/connectivity is not represented by the local resting-state FC descriptors.,,,,,
26988858_aging_sensorimotor_activation,26988858,normative_fmri,requires_new_feature_adapter,task-fMRI activation/connectivity is not represented by the local resting-state FC descriptors.,,,,,
26988858_aging_self_referential_activation,26988858,normative_fmri,requires_new_feature_adapter,task-fMRI activation/connectivity is not represented by the local resting-state FC descriptors.,,,,,
pmid39013249_ifg_bilateral_semantic_task,39013249,normative_fmri,requires_new_feature_adapter,"The requested predictor/contrast is not locally executable. Stage 0 only marks seeds executable when the predictor maps to age/sex, the target diagnosis contrast, or an exact shared local column.",ABCD_DISC,HCP_Aging_REP,fc_fc_Cont_Cont;fc_fc_Cont_Cont_z;fc_fc_Cont_Cont_z_z;fc_fc_Cont_Default;fc_fc_Cont_Default_z;fc_fc_Cont_Default_z_z;fc_fc_Cont_DorsAttn;fc_fc_Cont_DorsAttn_z;fc_fc_Cont_DorsAttn_z_z;fc_fc_Cont_Limbic;fc_fc_Cont_Limbic_z;fc_fc_Cont_Limbic_z_z;fc_fc_Cont_SalVentAttn;fc_fc_Cont_SalVentAttn_z;fc_fc_Cont_SalVentAttn_z_z;fc_fc_Cont_SomMot;fc_fc_Cont_SomMot_z;fc_fc_Cont_SomMot_z_z;fc_fc_Cont_Vis;fc_fc_Cont_Vis_z;fc_fc_Cont_Vis_z_z;fc_fc_Default_Default;fc_fc_Default_Default_z;fc_fc_Default_Default_z_z;fc_fc_Default_DorsAttn,,
pmid39013249_age_ifg_vatl_semantic_fc,39013249,normative_fmri,executable_now,Local discovery and replication evidence have compatible outcome columns; unavailable optional covariates should be omitted during contract drafting.,ABCD_DISC,HCP_Aging_REP,fc_fc_Cont_Cont;fc_fc_Cont_Cont_z;fc_fc_Cont_Cont_z_z;fc_fc_Cont_Default;fc_fc_Cont_Default_z;fc_fc_Cont_Default_z_z;fc_fc_Cont_DorsAttn;fc_fc_Cont_DorsAttn_z;fc_fc_Cont_DorsAttn_z_z;fc_fc_Cont_Limbic;fc_fc_Cont_Limbic_z;fc_fc_Cont_Limbic_z_z;fc_fc_Cont_SalVentAttn;fc_fc_Cont_SalVentAttn_z;fc_fc_Cont_SalVentAttn_z_z;fc_fc_Cont_SomMot;fc_fc_Cont_SomMot_z;fc_fc_Cont_SomMot_z_z;fc_fc_Cont_Vis;fc_fc_Cont_Vis_z;fc_fc_Cont_Vis_z_z;fc_fc_Default_Default;fc_fc_Default_Default_z;fc_fc_Default_Default_z_z;fc_fc_Default_DorsAttn,task condition,
