section,subset,rung,rung_index,alpha,FCR,FCR_ci_low,FCR_ci_high,FCR_count,FCR_denominator,coverage,coverage_ci_low,coverage_ci_high,coverage_count,coverage_denominator,known_positive_recall,known_positive_recall_ci_low,known_positive_recall_ci_high,known_positive_recall_count,known_positive_recall_denominator
gate_ladder,FULL,exec_only,0.0,,0.375,0.18799292819600225,0.594063615992056,9,24,0.5454545454545454,0.3884721224729164,0.6960928864843264,24,44,1.0,0.5407418735600995,1.0,6,6
gate_ladder,FULL,+confound,1.0,,0.125,0.02655931498624894,0.3236113581888329,3,24,0.4090909090909091,0.26337942508130363,0.5675035727478288,18,44,1.0,0.5407418735600995,1.0,6,6
gate_ladder,FULL,+power,2.0,,0.125,0.02655931498624894,0.3236113581888329,3,24,0.4090909090909091,0.26337942508130363,0.5675035727478288,18,44,1.0,0.5407418735600995,1.0,6,6
gate_ladder,FULL,+multiverse,3.0,,0.125,0.02655931498624894,0.3236113581888329,3,24,0.38636363636363635,0.243571642440721,0.5450446953365582,17,44,1.0,0.5407418735600995,1.0,6,6
gate_ladder,FULL,+replication,4.0,,0.0,0.0,0.14247359772252563,0,24,0.2727272727272727,0.14957684376530814,0.4278964124555005,12,44,1.0,0.5407418735600995,1.0,6,6
risk_coverage,FULL,alpha=0.1,,0.1,0.0,0.0,0.14247359772252563,0,24,0.2727272727272727,0.14957684376530814,0.4278964124555005,12,44,1.0,0.5407418735600995,1.0,6,6
risk_coverage,FULL,alpha=0.05,,0.05,0.0,0.0,0.14247359772252563,0,24,0.2727272727272727,0.14957684376530814,0.4278964124555005,12,44,1.0,0.5407418735600995,1.0,6,6
risk_coverage,FULL,alpha=0.01,,0.01,0.0,0.0,0.14247359772252563,0,24,0.2727272727272727,0.14957684376530814,0.4278964124555005,12,44,1.0,0.5407418735600995,1.0,6,6
gate_ladder,MAIN,exec_only,0.0,,0.4090909090909091,0.2070931229971492,0.6364530382702687,9,22,0.5333333333333333,0.3432552381607341,0.7165819208164629,16,30,1.0,0.4781762498950185,1.0,5,5
gate_ladder,MAIN,+confound,1.0,,0.13636363636363635,0.02905585112874668,0.34912209725740806,3,22,0.3333333333333333,0.17287422152603918,0.5281200447898806,10,30,1.0,0.4781762498950185,1.0,5,5
gate_ladder,MAIN,+power,2.0,,0.13636363636363635,0.02905585112874668,0.34912209725740806,3,22,0.3333333333333333,0.17287422152603918,0.5281200447898806,10,30,1.0,0.4781762498950185,1.0,5,5
gate_ladder,MAIN,+multiverse,3.0,,0.13636363636363635,0.02905585112874668,0.34912209725740806,3,22,0.3333333333333333,0.17287422152603918,0.5281200447898806,10,30,1.0,0.4781762498950185,1.0,5,5
gate_ladder,MAIN,+replication,4.0,,0.0,0.0,0.15437251281557457,0,22,0.23333333333333334,0.09933786495801976,0.4228365229782195,7,30,1.0,0.4781762498950185,1.0,5,5
risk_coverage,MAIN,alpha=0.1,,0.1,0.0,0.0,0.15437251281557457,0,22,0.23333333333333334,0.09933786495801976,0.4228365229782195,7,30,1.0,0.4781762498950185,1.0,5,5
risk_coverage,MAIN,alpha=0.05,,0.05,0.0,0.0,0.15437251281557457,0,22,0.23333333333333334,0.09933786495801976,0.4228365229782195,7,30,1.0,0.4781762498950185,1.0,5,5
risk_coverage,MAIN,alpha=0.01,,0.01,0.0,0.0,0.15437251281557457,0,22,0.23333333333333334,0.09933786495801976,0.4228365229782195,7,30,1.0,0.4781762498950185,1.0,5,5
