claim_id,label_class,confirm_final_label,confirm_decision,confirm_best_p,confirm_best_beta,neuroclaw_decision,neuroclaw_reported_p,neuroclaw_cost_usd,neuroclaw_n_calls,neuroclaw_extraction_rationale,neuroclaw_error
ad_hippocampal_atrophy_adni_oasis3,known_positive,confirmed,CONFIRMS,2.1762293771854846e-112,-1654.2086480065677,CONFIRMS,2.176229377185651e-112,0.0346,12,"pos-language=['statistically significant', 'significant reduction']",
ad_smri_adni_oasis3,known_positive,confirmed,CONFIRMS,2.1762293771854846e-112,-1654.2086480065677,CONFIRMS,,0.0497,14,pos-language=['significantly reduced'],
ad_brainwide_smri_adni_oasis3,known_positive,confirmed,CONFIRMS,2.1762293771854846e-112,-1654.2086480065677,CONFIRMS,2.1762293771959686e-112,0.1043,19,pos-language=['significantly reduced'],
brainwide_adni_oasis_ad_signature,known_positive,confirmed,CONFIRMS,2.1762293771854846e-112,-1654.2086480065677,CONFIRMS,,0.0662,16,pos-language=['significantly lower'],
sz_fc_within_cobre_fbirn,known_positive,confirmed,CONFIRMS,0.0010125842608209891,-0.07355695302296246,CONFIRMS,0.001,0.0378,12,"pos-language=['statistically significant', 'significant reduction']",
injected_null_random_hcp,known_null,fragile,ABSTAIN,0.0012277830059604867,0.32741008600893373,AMBIGUOUS,,0.0417,11,"no-language, no p",
injected_null_random_abcd,known_null,fragile,ABSTAIN,0.06638047823323164,0.04163616140647229,CONFIRMS,0.00035,0.0509,13,"mixed-language, p=0.00035",
injected_null_fishing_abide2,known_null,fragile,ABSTAIN,0.23376441909969337,-0.044814558353142804,NO-EFFECT,0.23376441909969317,0.0376,12,"mixed-language, p=0.234",
injected_null_fishing_adhd200,known_null,fragile,ABSTAIN,0.13851174998002816,-0.05431878746502955,AMBIGUOUS,,0.0755,21,"no-language, no p",
injected_null_site_abcd,known_null,fragile,ABSTAIN,0.0,0.27542623385358117,CONFIRMS,0.0,0.0725,17,pos-language=['significant difference'],
injected_null_site_ukb,known_null,fragile,ABSTAIN,0.0,0.21100570299181792,CONFIRMS,0.0,0.0916,21,pos-language=['statistically significant'],
asd_fc_abide2_abcd,fragile,fragile,ABSTAIN,0.1092850955524961,-0.07729678079659046,NO-EFFECT,0.10928509555249387,0.0566,13,"mixed-language, p=0.109",
asd_fc_abide1_site_split,fragile,fragile,ABSTAIN,0.5321267490180922,-0.007152697207521938,AMBIGUOUS,,0.0317,11,"no-language, no p",
underpowered_asd_site_abide2,fragile,fragile,ABSTAIN,0.1034639698401131,0.17239371091403882,NO-EFFECT,0.103,0.1149,22,"mixed-language, p=0.103",
sex_smri_hippocampus_gsp_adni_cn,fragile,fragile,ABSTAIN,0.30643494875748495,-41.421898889196385,NO-EFFECT,0.306,0.0294,11,"mixed-language, p=0.306",
